LATITUDE,LONGITUDE,MUNICIPIO,UF,
(-21.61,-42.83,"ARGIRITA","MG"),
(-17.86,-42.55,"ARICANDUVA","MG"),
(-15.91,-46.1,"ARINOS","MG"),
(-21.31,-42.86,"ASTOLFO DUTRA","MG"),
(-18.04,-41.11,"ATALEIA","MG"),
(-18.1,-44.26,"AUGUSTO DE LIMA","MG"),
(-21.95,-44.89,"BAEPENDI","MG"),
(-19.28,-43.95,"BALDIM","MG"),
(-20,-45.97,"BAMBUI","MG"),
(-15.88,-40.55,"BANDEIRA","MG"),
(-21.72,-46.38,"BANDEIRA DO SUL","MG"),
(-19.94,-43.48,"BARAO DE COCAIS","MG"),
(-21.24,-42.23,"BARAO DE MONTE ALTO","MG"),
(-21.22,-43.77,"BARBACENA","MG"),
(-20.28,-43.04,"BARRA LONGA","MG"),
(-21.18,-43.97,"BARROSO","MG"),
(-19.83,-43.09,"BELA VISTA DE MINAS","MG"),
(-21.94,-43.41,"BELMIRO BRAGA","MG"),
(-19.81,-43.95,"BELO HORIZONTE","MG"),
(-19.22,-42.48,"BELO ORIENTE","MG"),
(-20.4,-44.02,"BELO VALE","MG"),
(-16.95,-42.46,"BERILO","MG"),
(-15.61,-41.74,"BERIZAL","MG"),
(-17.06,-40.57,"BERTOPOLIS","MG"),
(-19.96,-44.19,"BETIM","MG"),
(-21.6,-43.75,"BIAS FORTES","MG"),
(-21.72,-43.05,"BICAS","MG"),
(-18.78,-45.5,"BIQUINHAS","MG"),
(-21.09,-45.56,"BOA ESPERANCA","MG"),
(-22.16,-44.39,"BOCAINA DE MINAS","MG"),
(-17.1,-43.81,"BOCAIUVA","MG"),
(-19.73,-45.25,"BOM DESPACHO","MG"),
(-21.94,-44.19,"BOM JARDIM DE MINAS","MG"),
(-21.01,-46.52,"BOM JESUS DA PENHA","MG"),
(-19.7,-43.47,"BOM JESUS DO AMPARO","MG"),
(-19.82,-42.31,"BOM JESUS DO GALHO","MG"),
(-22.47,-46.14,"BOM REPOUSO","MG"),
(-21.03,-44.75,"BOM SUCESSO","MG"),
(-20.32,-44.23,"BONFIM","MG"),
(-16.56,-45.99,"BONFINOPOLIS DE MINAS","MG"),
(-15.32,-44.75,"BONITO DE MINAS","MG"),
(-22.27,-46.16,"BORDA DA MATA","MG"),
(-21.63,-46.39,"BOTELHOS","MG"),
(-16.87,-43.01,"BOTUMIRIM","MG"),
(-20.92,-43.24,"BRAS PIRES","MG"),
(-17.01,-46,"BRASILANDIA DE MINAS","MG"),
(-16.2,-44.42,"BRASILIA DE MINAS","MG"),
(-22.47,-45.6,"BRASOPOLIS","MG"),
(-19.05,-42.71,"BRAUNAS","MG"),
(-20.14,-44.2,"BRUMADINHO","MG"),
(-22.44,-46.35,"BUENO BRANDAO","MG"),
(-17.87,-44.18,"BUENOPOLIS","MG"),
(-19.42,-42.24,"BUGRE","MG"),
(-15.61,-46.42,"BURITIS","MG"),
(-17.35,-44.96,"BURITIZEIRO","MG"),
(-16.03,-47.09,"CABECEIRA GRANDE","MG"),
(-21.47,-46.39,"CABO VERDE","MG"),
(-19.52,-44.45,"CACHOEIRA DA PRATA","MG"),
(-22.35,-45.77,"CACHOEIRA DE MINAS","MG"),
(-15.96,-41.49,"CACHOEIRA DE PAJEU","MG"),
(-18.51,-49.5,"CACHOEIRA DOURADA","MG"),
(-19.29,-44.41,"CAETANOPOLIS","MG"),
(-19.88,-43.67,"CAETE","MG"),
(-20.69,-41.92,"CAIANA","MG"),
(-20.79,-42.79,"CAJURI","MG"),
(-21.92,-46.38,"CALDAS","MG"),
(-20.62,-45.15,"CAMACHO","MG"),
(-22.75,-46.14,"CAMANDUCAIA","MG"),
(-22.61,-46.05,"CAMBUI","MG"),
(-21.85,-45.29,"CAMBUQUIRA","MG"),
(-18.23,-41.74,"CAMPANARIO","MG"),
(-21.83,-45.4,"CAMPANHA","MG"),
(-21.71,-46.24,"CAMPESTRE","MG"),
(-19.53,-49.48,"CAMPINA VERDE","MG"),
(-16.5,-44.81,"CAMPO AZUL","MG"),
(-20.89,-45.27,"CAMPO BELO","MG"),
(-21.1,-45.83,"CAMPO DO MEIO","MG"),
(-19.76,-48.57,"CAMPO FLORIDO","MG"),
(-19.69,-46.17,"CAMPOS ALTOS","MG"),
(-21.23,-45.75,"CAMPOS GERAIS","MG"),
(-21.02,-45.18,"CANA VERDE","MG"),
(-20.68,-42.62,"CANAA","MG"),
(-18.72,-49.2,"CANAPOLIS","MG"),
(-20.76,-45.27,"CANDEIAS","MG"),
(-18.52,-42.62,"CANTAGALO","MG"),
(-20.43,-41.86,"CAPARAO","MG"),
(-20.92,-43.61,"CAPELA NOVA","MG"),
(-17.69,-42.51,"CAPELINHA","MG"),
(-20.61,-47.05,"CAPETINGA","MG"),
(-19.54,-44.11,"CAPIM BRANCO","MG"),
(-18.68,-49.57,"CAPINOPOLIS","MG"),
(-19.06,-41.85,"CAPITAO ANDRADE","MG"),
(-16.32,-43.71,"CAPITAO ENEAS","MG"),
(-20.61,-46.05,"CAPITOLIO","MG"),
(-20.17,-42.27,"CAPUTIRA","MG"),
(-17.18,-41.69,"CARAI","MG"),
(-20.87,-43.73,"CARANAIBA","MG"),
(-20.95,-43.8,"CARANDAI","MG"),
(-20.73,-42.02,"CARANGOLA","MG"),
(-19.79,-42.13,"CARATINGA","MG"),
(-17.52,-43.01,"CARBONITA","MG"),
(-22.04,-45.69,"CAREACU","MG"),
(-17.7,-40.76,"CARLOS CHAGAS","MG"),
(-19.08,-43.14,"CARMESIA","MG"),
(-21.46,-45.22,"CARMO DA CACHOEIRA","MG"),
(-20.55,-44.87,"CARMO DA MATA","MG"),
(-22.12,-45.12,"CARMO DE MINAS","MG"),
(-20.18,-44.77,"CARMO DO CAJURU","MG"),
(-19,-46.31,"CARMO DO PARANAIBA","MG"),
(-20.97,-46.11,"CARMO DO RIO CLARO","MG"),
(-20.54,-44.63,"CARMOPOLIS DE MINAS","MG"),
(-19.69,-50.68,"CARNEIRINHO","MG"),
(-21.48,-44.64,"CARRANCAS","MG"),
(-21.77,-45.84,"CARVALHOPOLIS","MG"),
(-22,-44.46,"CARVALHOS","MG"),
(-20.79,-43.93,"CASA GRANDE","MG"),
(-18.57,-47.87,"CASCALHO RICO","MG"),
(-20.58,-46.92,"CASSIA","MG"),
(-21.38,-42.69,"CATAGUASES","MG"),
(-20.07,-43.4,"CATAS ALTAS","MG"),
(-20.69,-43.49,"CATAS ALTAS DA NORUEGA","MG"),
(-17.31,-41.51,"CATUJI","MG"),
(-15.35,-42.96,"CATUTI","MG"),
(-21.97,-44.93,"CAXAMBU","MG"),
(-19.14,-45.71,"CEDRO DO ABAETE","MG"),
(-18.76,-41.3,"CENTRAL DE MINAS","MG"),
(-18.58,-49.19,"CENTRALINA","MG"),
(-21.67,-43.22,"CHACARA","MG"),
(-20.04,-41.68,"CHALE","MG"),
(-17.08,-42.53,"CHAPADA DO NORTE","MG"),
(-15.3,-45.61,"CHAPADA GAUCHA","MG"),
(-22,-43.05,"CHIADOR","MG"),
(-20.9,-43.36,"CIPOTANEA","MG"),
(-20.39,-47.26,"CLARAVAL","MG"),
(-17.08,-44.2,"CLARO DOS POCOES","MG"),
(-20.44,-44.76,"CLAUDIO","MG"),
(-20.85,-42.8,"COIMBRA","MG"),
(-18.23,-42.84,"COLUNA","MG"),
(-19.69,-49.08,"COMENDADOR GOMES","MG"),
(-16.29,-41.79,"COMERCINHO","MG"),
(-21.09,-46.2,"CONCEICAO DA APARECIDA","MG"),
(-21.12,-44.47,"CONCEICAO DA BARRA DE MINAS","MG"),
(-19.91,-48.38,"CONCEICAO DAS ALAGOAS","MG"),
(-22.16,-45.45,"CONCEICAO DAS PEDRAS","MG"),
(-19.92,-41.69,"CONCEICAO DE IPANEMA","MG"),
(-19.03,-43.42,"CONCEICAO DO MATO DENTRO","MG"),
(-19.75,-44.89,"CONCEICAO DO PARA","MG"),
(-21.88,-45.08,"CONCEICAO DO RIO VERDE","MG"),
(-22.41,-45.79,"CONCEICAO DOS OUROS","MG"),
(-15.29,-44.41,"CONEGO MARINHO","MG"),
(-19.63,-43.98,"CONFINS","MG"),
(-22.15,-46.03,"CONGONHAL","MG"),
(-20.5,-43.85,"CONGONHAS","MG"),
(-18.8,-43.68,"CONGONHAS DO NORTE","MG"),
(-19.93,-47.54,"CONQUISTA","MG"),
(-20.66,-43.78,"CONSELHEIRO LAFAIETE","MG"),
(-19.17,-41.47,"CONSELHEIRO PENA","MG"),
(-22.55,-45.92,"CONSOLACAO","MG"),
(-19.93,-44.05,"CONTAGEM","MG"),
(-21.18,-45.44,"COQUEIRAL","MG"),
(-16.68,-44.36,"CORACAO DE JESUS","MG"),
(-19.12,-44.32,"CORDISBURGO","MG"),
(-21.79,-45.7,"CORDISLANDIA","MG"),
(-18.38,-44.45,"CORINTO","MG"),
(-18.62,-42.28,"COROACI","MG"),
(-18.47,-47.2,"COROMANDEL","MG"),
(-19.51,-42.62,"CORONEL FABRICIANO","MG"),
(-16.61,-42.18,"CORONEL MURTA","MG"),
(-21.58,-43.26,"CORONEL PACHECO","MG"),
(-21.02,-44.22,"CORONEL XAVIER CHAVES","MG"),
(-19.82,-45.9,"CORREGO DANTA","MG"),
(-22.63,-46.02,"CORREGO DO BOM JESUS","MG"),
(-20.44,-45.55,"CORREGO FUNDO","MG"),
(-19.83,-42.39,"CORREGO NOVO","MG"),
(-18.07,-43.47,"COUTO DE MAGALHAES DE MINAS","MG"),
(-17.23,-40.91,"CRISOLITA","MG"),
(-20.87,-45.51,"CRISTAIS","MG"),
(-16.8,-42.86,"CRISTALIA","MG"),
(-20.83,-43.8,"CRISTIANO OTONI","MG"),
(-22.21,-45.26,"CRISTINA","MG"),
(-20.38,-44.33,"CRUCILANDIA","MG"),
(-18.94,-46.67,"CRUZEIRO DA FORTALEZA","MG"),
(-21.83,-44.8,"CRUZILIA","MG"),
(-18.96,-41.09,"CUPARAQUE","MG"),
(-15.93,-41.84,"CURRAL DE DENTRO","MG"),
(-18.75,-44.43,"CURVELO","MG"),
(-18.44,-43.65,"DATAS","MG"),
(-22.5,-45.28,"DELFIM MOREIRA","MG"),
(-20.34,-46.85,"DELFINOPOLIS","MG"),
(-19.97,-47.77,"DELTA","MG"),
(-21.46,-42.96,"DESCOBERTO","MG"),
(-20.66,-44.33,"DESTERRO DE ENTRE RIOS","MG"),
(-21.14,-43.51,"DESTERRO DO MELO","MG"),
(-18.24,-43.6,"DIAMANTINA","MG"),
(-20.48,-43.19,"DIOGO DE VASCONCELOS","MG"),
(-19.84,-42.77,"DIONISIO","MG"),
(-20.99,-43,"DIVINESIA","MG"),
(-20.61,-42.14,"DIVINO","MG"),
(-18.77,-41.48,"DIVINO DAS LARANJEIRAS","MG"),
(-18.8,-42.59,"DIVINOLANDIA DE MINAS","MG"),
(-20.13,-44.88,"DIVINOPOLIS","MG"),
(-15.72,-41.34,"DIVISA ALEGRE","MG"),
(-21.51,-46.19,"DIVISA NOVA","MG"),
(-15.72,-41,"DIVISOPOLIS","MG"),
(-16.65,-46.27,"DOM BOSCO","MG"),
(-19.37,-42.1,"DOM CAVATI","MG"),
(-18.96,-43.25,"DOM JOAQUIM","MG"),
(-20.16,-42.96,"DOM SILVERIO","MG"),
(-22.25,-45.16,"DOM VICOSO","MG"),
(-21.31,-42.81,"DONA EUZEBIA","MG"),
(-21.1,-44.02,"DORES DE CAMPOS","MG"),
(-19.05,-42.92,"DORES DE GUANHAES","MG"),
(-19.46,-45.6,"DORES DO INDAIA","MG"),
(-20.97,-43.18,"DORES DO TURVO","MG"),
(-20.28,-45.9,"DORESOPOLIS","MG"),
(-18.43,-47.6,"DOURADOQUARA","MG"),
(-20.2,-41.79,"DURANDE","MG"),
(-21.61,-45.56,"ELOI MENDES","MG"),
(-19.21,-42.04,"ENGENHEIRO CALDAS","MG"),
(-17.28,-43.95,"ENGENHEIRO NAVARRO","MG"),
(-19.62,-42.23,"ENTRE FOLHAS","MG"),
(-20.67,-44.06,"ENTRE RIOS DE MINAS","MG"),
(-20.84,-42.65,"ERVALIA","MG"),
(-19.76,-44.31,"ESMERALDAS","MG"),
(-20.65,-41.9,"ESPERA FELIZ","MG"),
(-14.92,-42.81,"ESPINOSA","MG"),
(-22.04,-45.95,"ESPIRITO SANTO DO DOURADO","MG"),
(-22.46,-46.01,"ESTIVA","MG"),
(-21.74,-42.46,"ESTRELA DALVA","MG"),
(-19.52,-45.78,"ESTRELA DO INDAIA","MG"),
(-18.74,-47.69,"ESTRELA DO SUL","MG"),
(-21.09,-42.18,"EUGENOPOLIS","MG"),
(-21.55,-43.51,"EWBANK DA CAMARA","MG"),
(-22.85,-46.31,"EXTREMA","MG"),
(-21.4,-45.82,"FAMA","MG"),
(-20.8,-42.03,"FARIA LEMOS","MG"),
(-18.07,-43.24,"FELICIO DOS SANTOS","MG"),
(-16.63,-40.76,"FELISBURGO","MG"),
(-18.75,-44.89,"FELIXLANDIA","MG"),
(-19.15,-42.08,"FERNANDES TOURINHO","MG"),
(-19.23,-43.02,"FERROS","MG"),
(-20.72,-42.27,"FERVEDOURO","MG"),
(-19.88,-44.43,"FLORESTAL","MG"),
(-20.46,-45.42,"FORMIGA","MG"),
(-14.94,-46.23,"FORMOSO","MG"),
(-20.84,-46.71,"FORTALEZA DE MINAS","MG"),
(-19.56,-44.44,"FORTUNA DE MINAS","MG"),
(-16.99,-42.35,"FRANCISCO BADARO","MG"),
(-17.31,-44.23,"FRANCISCO DUMONT","MG"),
(-16.47,-43.48,"FRANCISCO SA","MG"),
(-17.96,-42,"FRANCISCOPOLIS","MG"),
(-18.06,-41.42,"FREI GASPAR","MG"),
(-18.54,-41.92,"FREI INOCENCIO","MG"),
(-18.16,-42.76,"FREI LAGONEGRO","MG"),
(-20.26,-49.19,"FRONTEIRA","MG"),
(-16.89,-40.92,"FRONTEIRA DOS VALES","MG"),
(-16.13,-42.53,"FRUTA DE LEITE","MG"),
(-20.02,-48.94,"FRUTAL","MG"),
(-19.36,-44.05,"FUNILANDIA","MG"),
(-18.99,-41.53,"GALILEIA","MG"),
(-15.08,-43.12,"GAMELEIRAS","MG"),
(-16.85,-43.69,"GLAUCILANDIA","MG"),
(-18.98,-41.22,"GOIABEIRA","MG"),
(-21.53,-43.2,"GOIANA","MG"),
(-22.65,-45.85,"GONCALVES","MG"),
(-18.82,-42.47,"GONZAGA","MG"),
(-18.45,-43.74,"GOUVEA","MG"),
(-18.85,-41.94,"GOVERNADOR VALADARES","MG"),
(-16.55,-42.89,"GRAO MOGOL","MG"),
(-18.49,-47.72,"GRUPIARA","MG"),
(-18.77,-42.93,"GUANHAES","MG"),
(-20.76,-45.91,"GUAPE","MG"),
(-20.57,-43,"GUARACIABA","MG"),
(-17.01,-43.67,"GUARACIAMA","MG"),
(-21.29,-46.8,"GUARANESIA","MG"),
(-21.35,-43.04,"GUARANI","MG"),
(-21.73,-43.03,"GUARARA","MG"),
(-17.77,-47.09,"GUARDA-MOR","MG"),
(-21.3,-46.71,"GUAXUPE","MG"),
(-21.15,-42.79,"GUIDOVAL","MG"),
(-18.84,-46.79,"GUIMARANIA","MG"),
(-21,-42.71,"GUIRICEMA","MG"),
(-19.21,-49.78,"GURINHATA","MG"),
(-22.06,-45.54,"HELIODORA","MG"),
(-19.43,-42.21,"IAPU","MG"),
(-21.43,-43.96,"IBERTIOGA","MG"),
(-19.47,-46.53,"IBIA","MG"),
(-16.86,-44.91,"IBIAI","MG"),
(-15.66,-44.16,"IBIRACATU","MG"),
(-20.46,-47.12,"IBIRACI","MG"),
(-20.02,-44.05,"IBIRITE","MG"),
(-22.06,-46.44,"IBITIURA DE MINAS","MG"),
(-21.15,-44.74,"IBITURUNA","MG"),
(-16.21,-44.9,"ICARAI DE MINAS","MG"),
(-20.07,-44.3,"IGARAPE","MG"),
(-19.95,-44.7,"IGARATINGA","MG"),
(-20.17,-45.71,"IGUATAMA","MG"),
(-21.17,-44.92,"IJACI","MG"),
(-20.93,-45.83,"ILICINEA","MG"),
(-19.59,-41.97,"IMBE DE MINAS","MG"),
(-22.31,-46.32,"INCONFIDENTES","MG"),
(-15.49,-42.19,"INDAIABIRA","MG"),
(-19.03,-47.91,"INDIANOPOLIS","MG"),
(-21.4,-44.91,"INGAI","MG"),
(-19.54,-42.12,"INHAPIM","MG"),
(-19.49,-44.39,"INHAUMA","MG"),
(-18.72,-44.36,"INIMUTABA","MG"),
(-19.41,-42.41,"IPABA","MG"),
(-19.8,-41.71,"IPANEMA","MG"),
(-19.46,-42.53,"IPATINGA","MG"),
(-18.69,-49.94,"IPIACU","MG"),
(-22.09,-46.19,"IPUIUNA","MG"),
(-18.98,-47.46,"IRAI DE MINAS","MG"),
(-19.61,-43.22,"ITABIRA","MG"),
(-18.56,-41.23,"ITABIRINHA DE MANTENA","MG"),
(-20.25,-43.8,"ITABIRITO","MG"),
(-17.06,-43.3,"ITACAMBIRA","MG"),
(-15.1,-44.09,"ITACARAMBI","MG"),
(-20.39,-44.48,"ITAGUARA","MG"),
(-17.4,-41.66,"ITAIPE","MG"),
(-22.42,-45.45,"ITAJUBA","MG"),
(-17.85,-42.85,"ITAMARANDIBA","MG"),
(-21.41,-42.81,"ITAMARATI DE MINAS","MG"),
(-18.03,-41.68,"ITAMBACURI","MG"),
(-19.41,-43.32,"ITAMBE DO MATO DENTRO","MG"),
(-21.07,-47.04,"ITAMOGI","MG"),
(-22.28,-44.87,"ITAMONTE","MG"),
(-22.29,-44.93,"ITANHANDU","MG"),
(-19.17,-41.86,"ITANHOMI","MG"),
(-16.56,-41.5,"ITAOBIM","MG"),
(-19.9,-49.38,"ITAPAGIPE","MG"),
(-20.47,-45.12,"ITAPECERICA","MG"),
(-22.76,-46.22,"ITAPEVA","MG"),
(-20.19,-44.42,"ITATIAIUCU","MG"),
(-20.73,-46.75,"ITAU DE MINAS","MG"),
(-20.07,-44.57,"ITAUNA","MG"),
(-20.67,-43.61,"ITAVERAVA","MG"),
(-16.61,-41.76,"ITINGA","MG"),
(-19.39,-41.17,"ITUETA","MG"),
(-18.96,-49.46,"ITUIUTABA","MG"),
(-21.31,-44.87,"ITUMIRIM","MG"),
(-19.72,-50.19,"ITURAMA","MG"),
(-21.29,-44.65,"ITUTINGA","MG"),
(-19.51,-43.74,"JABOTICATUBAS","MG"),
(-16.14,-40.29,"JACINTO","MG"),
(-21.01,-46.74,"JACUI","MG"),
(-22.28,-46.61,"JACUTINGA","MG"),
(-19.64,-42.75,"JAGUARACU","MG"),
(-15.33,-43.67,"JAIBA","MG"),
(-18.46,-41.8,"JAMPRUCA","MG"),
(-15.8,-43.3,"JANAUBA","MG"),
(-15.48,-44.36,"JANUARIA","MG"),
(-20.14,-45.5,"JAPARAIBA","MG"),
(-15.99,-44.27,"JAPONVAR","MG"),
(-20.53,-43.98,"JECEABA","MG"),
(-17.08,-42.25,"JENIPAPO DE MINAS","MG"),
(-20.45,-42.66,"JEQUERI","MG"),
(-17.23,-44.44,"JEQUITAI","MG"),
(-19.23,-44.02,"JEQUITIBA","MG"),
(-16.43,-41,"JEQUITINHONHA","MG"),
(-21.99,-45.29,"JESUANIA","MG"),
(-16.65,-41.03,"JOAIMA","MG"),
(-19.17,-42.67,"JOANESIA","MG"),
(-19.81,-43.17,"JOAO MONLEVADE","MG"),
(-17.74,-46.17,"JOAO PINHEIRO","MG"),
(-17.75,-44.17,"JOAQUIM FELICIO","MG"),
(-15.9,-40.17,"JORDANIA","MG"),
(-16.9,-42.6,"JOSE GONCALVES DE MINAS","MG"),
(-18.21,-42.49,"JOSE RAYDAN","MG"),
(-16.54,-42.51,"JOSENOPOLIS","MG"),
(-19.95,-44.34,"JUATUBA","MG"),
(-21.76,-43.35,"JUIZ DE FORA","MG"),
(-16.84,-43.58,"JURAMENTO","MG"),
(-21.25,-46.57,"JURUAIA","MG"),
(-14.26,-44.16,"JUVENILIA","MG"),
(-17.63,-41.73,"LADAINHA","MG"),
(-18.17,-46.8,"LAGAMAR","MG"),
(-20.02,-45.54,"LAGOA DA PRATA","MG"),
(-16.98,-44.58,"LAGOA DOS PATOS","MG"),
(-20.91,-44.07,"LAGOA DOURADA","MG"),
(-18.77,-46.4,"LAGOA FORMOSA","MG"),
(-17.83,-46.51,"LAGOA GRANDE","MG"),
(-19.62,-43.89,"LAGOA SANTA","MG"),
(-20.15,-41.62,"LAJINHA","MG"),
(-21.97,-45.35,"LAMBARI","MG"),
(-20.79,-43.47,"LAMIM","MG"),
(-21.37,-42.47,"LARANJAL","MG"),
(-17.88,-44.57,"LASSANCE","MG"),
(-21.24,-45,"LAVRAS","MG"),
(-19.71,-45.02,"LEANDRO FERREIRA","MG"),
(-17.08,-42.69,"LEME DO PRADO","MG"),
(-21.53,-42.64,"LEOPOLDINA","MG"),
(-22.02,-44.32,"LIBERDADE","MG"),
(-21.84,-43.79,"LIMA DUARTE","MG"),
(-19.55,-50.58,"LIMEIRA DO OESTE","MG"),
(-15.9,-44.3,"LONTRA","MG"),
(-20.44,-42.1,"LUISBURGO","MG"),
(-16.11,-44.58,"LUISLANDIA","MG"),
(-21.51,-44.9,"LUMINARIAS","MG"),
(-19.8,-45.68,"LUZ","MG"),
(-17.07,-40.71,"MACHACALIS","MG"),
(-21.67,-45.92,"MACHADO","MG"),
(-21.48,-44.33,"MADRE DE DEUS DE MINAS","MG"),
(-17.84,-42.07,"MALACACHETA","MG"),
(-15.05,-42.94,"MAMONAS","MG"),
(-14.75,-43.93,"MANGA","MG"),
(-20.25,-42.03,"MANHUACU","MG"),
(-20.35,-41.95,"MANHUMIRIM","MG"),
(-18.78,-40.98,"MANTENA","MG"),
(-21.86,-43.01,"MAR DE ESPANHA","MG"),
(-19.51,-44.67,"MARAVILHAS","MG"),
(-22.3,-45.37,"MARIA DA FE","MG"),
(-20.37,-43.41,"MARIANA","MG"),
(-18.5,-42.08,"MARILAC","MG"),
(-20.05,-44.18,"MARIO CAMPOS","MG"),
(-21.69,-42.95,"MARIPA DE MINAS","MG"),
(-19.71,-42.73,"MARLIERIA","MG"),
(-22.44,-45.16,"MARMELOPOLIS","MG"),
(-19.33,-45.23,"MARTINHO CAMPOS","MG"),
(-20.25,-41.87,"MARTINS SOARES","MG"),
(-15.68,-40.74,"MATA VERDE","MG"),
(-18.47,-43.06,"MATERLANDIA","MG"),
(-19.98,-44.42,"MATEUS LEME","MG"),
(-18.59,-41.9,"MATHIAS LOBATO","MG"),
(-21.86,-43.31,"MATIAS BARBOSA","MG"),
(-14.85,-43.92,"MATIAS CARDOSO","MG"),
(-20.28,-42.34,"MATIPO","MG"),
(-15.39,-42.86,"MATO VERDE","MG"),
(-19.55,-44.08,"MATOZINHOS","MG"),
(-19.22,-45.96,"MATUTINA","MG"),
(-19.99,-46.22,"MEDEIROS","MG"),
(-16.22,-41.47,"MEDINA","MG"),
(-18.66,-41.4,"MENDES PIMENTEL","MG"),
(-21.19,-43.34,"MERCES","MG"),
(-19.22,-42.6,"MESQUITA","MG"),
(-17.21,-42.59,"MINAS NOVAS","MG"),
(-21.68,-44.6,"MINDURI","MG"),
(-16.26,-44.16,"MIRABELA","MG"),
(-20.89,-42.34,"MIRADOURO","MG"),
(-21.19,-42.61,"MIRAI","MG"),
(-14.74,-44.4,"MIRAVANIA","MG"),
(-20.33,-44.05,"MOEDA","MG"),
(-19.84,-45.41,"MOEMA","MG"),
(-18.32,-44.11,"MONJOLOS","MG"),
(-21.75,-45.54,"MONSENHOR PAULO","MG"),
(-14.42,-44.36,"MONTALVANIA","MG"),
(-18.87,-48.88,"MONTE ALEGRE DE MINAS","MG"),
(-15.15,-42.87,"MONTE AZUL","MG"),
(-21.32,-46.36,"MONTE BELO","MG"),
(-18.72,-47.49,"MONTE CARMELO","MG"),
(-16.86,-41.25,"MONTE FORMOSO","MG"),
(-21.19,-46.98,"MONTE SANTO DE MINAS","MG"),
(-22.43,-46.57,"MONTE SIAO","MG"),
(-16.73,-43.86,"MONTES CLAROS","MG"),
(-15.17,-42.49,"MONTEZUMA","MG"),
(-18.6,-45.35,"MORADA NOVA DE MINAS","MG"),
(-18.54,-44.6,"MORRO DA GARCA","MG"),
(-19.21,-43.37,"MORRO DO PILAR","MG"),
(-22.61,-46.36,"MUNHOZ","MG"),
(-21.13,-42.36,"MURIAE","MG"),
(-19.8,-41.43,"MUTUM","MG"),
(-21.37,-46.52,"MUZAMBINHO","MG"),
(-18.45,-42.24,"NACIP RAYDAN","MG"),
(-17.83,-40.35,"NANUQUE","MG"),
(-19.23,-42.32,"NAQUE","MG"),
(-16.5,-46.49,"NATALANDIA","MG"),
(-22.12,-45.51,"NATERCIA","MG"),
(-21.21,-44.61,"NAZARENO","MG"),
(-21.23,-45.23,"NEPOMUCENO","MG"),
(-15.32,-41.75,"NINHEIRA","MG"),
(-18.47,-41.01,"NOVA BELEM","MG"),
(-19.75,-43.03,"NOVA ERA","MG"),
(-19.98,-43.84,"NOVA LIMA","MG"),
(-18.43,-41.5,"NOVA MODICA","MG"),
(-19.13,-47.68,"NOVA PONTE","MG"),
(-15.8,-43.3,"NOVA PORTEIRINHA","MG"),
(-21.12,-46.42,"NOVA RESENDE","MG"),
(-19.87,-44.98,"NOVA SERRANA","MG"),
(-19.69,-43.58,"NOVA UNIAO","MG"),
(-17.46,-41.87,"NOVO CRUZEIRO","MG"),
(-17.41,-41.21,"NOVO ORIENTE DE MINAS","MG"),
(-16.01,-42.4,"NOVORIZONTE","MG"),
(-21.86,-43.93,"OLARIA","MG"),
(-17.39,-43.57,"OLHOS-DAGUA","MG"),
(-22.06,-45.26,"OLIMPIO NORONHA","MG"),
(-20.69,-44.82,"OLIVEIRA","MG"),
(-21.33,-43.45,"OLIVEIRA FORTES","MG"),
(-19.73,-44.8,"ONCA DE PITANGUI","MG"),
(-20.43,-42.8,"ORATORIOS","MG"),
(-20.5,-42.21,"ORIZANIA","MG"),
(-20.52,-43.69,"OURO BRANCO","MG"),
(-22.28,-46.36,"OURO FINO","MG"),
(-20.28,-43.5,"OURO PRETO","MG"),
(-18.07,-41.27,"OURO VERDE DE MINAS","MG"),
(-16.36,-42.51,"PADRE CARVALHO","MG"),
(-17.07,-41.52,"PADRE PARAISO","MG"),
(-15.51,-43.06,"PAI PEDRO","MG"),
(-18.9,-45.53,"PAINEIRAS","MG"),
(-20.37,-45.66,"PAINS","MG"),
(-21.28,-43.41,"PAIVA","MG"),
(-21.37,-42.31,"PALMA","MG"),
(-16.73,-40.42,"PALMOPOLIS","MG"),
(-19.44,-44.74,"PAPAGAIOS","MG"),
(-19.86,-44.6,"PARA DE MINAS","MG"),
(-17.22,-46.87,"PARACATU","MG"),
(-21.54,-45.73,"PARAGUACU","MG"),
(-22.55,-45.78,"PARAISOPOLIS","MG"),
(-19.27,-44.4,"PARAOPEBA","MG"),
(-22.39,-44.96,"PASSA QUATRO","MG"),
(-20.65,-44.49,"PASSA TEMPO","MG"),
(-22.2,-44.23,"PASSA VINTE","MG"),
(-19.35,-43.13,"PASSABEM","MG"),
(-20.71,-46.61,"PASSOS","MG"),
(-16.07,-44.08,"PATIS","MG"),
(-18.57,-46.51,"PATOS DE MINAS","MG"),
(-18.94,-46.99,"PATROCINIO","MG"),
(-21.15,-42.21,"PATROCINIO DO MURIAE","MG"),
(-20.87,-42.98,"PAULA CANDIDO","MG"),
(-18.42,-42.86,"PAULISTAS","MG"),
(-17.42,-40.99,"PAVAO","MG"),
(-18.54,-42.55,"PECANHA","MG"),
(-16,-41.29,"PEDRA AZUL","MG"),
(-20.52,-42.33,"PEDRA BONITA","MG"),
(-20.59,-42.71,"PEDRA DO ANTA","MG"),
(-20.25,-45.2,"PEDRA DO INDAIA","MG"),
(-20.83,-42.15,"PEDRA DOURADA","MG"),
